#Bragg gap
Units mDeg mm
17400.00 6.00900
16700.00 6.22784
16690.00 6.23130
16680.00 6.23477
16670.00 6.23824
16660.00 6.24172
16650.00 6.24520
16640.00 6.24868
16630.00 6.25217
16620.00 6.25566
16610.00 6.25916
16600.00 6.26266
16590.00 6.26616
16580.00 6.26967
16570.00 6.27318
16560.00 6.27670
16550.00 6.28022
16540.00 6.28375
16530.00 6.28728
16520.00 6.29081
16510.00 6.29435
16500.00 6.29660
16490.00 6.30020
16480.00 6.30381
16470.00 6.30743
16460.00 6.31105
16450.00 6.31467
16440.00 6.31829
16430.00 6.32192
16420.00 6.32555
16410.00 6.32919
16400.00 6.33283
16390.00 6.33647
16380.00 6.34011
16370.00 6.34376
16360.00 6.34741
16350.00 6.35107
16340.00 6.35473
16330.00 6.35839
16320.00 6.36206
16310.00 6.36573
16300.00 6.36940
16290.00 6.37308
16280.00 6.37676
16270.00 6.38044
16260.00 6.38413
16250.00 6.38782
16240.00 6.39151
16230.00 6.39521
16220.00 6.39891
16210.00 6.40261
16200.00 6.40632
16190.00 6.41003
16180.00 6.41375
16170.00 6.41746
16160.00 6.42119
16150.00 6.42491
16140.00 6.42864
16130.00 6.43237
16120.00 6.43611
16110.00 6.43984
16100.00 6.44359
16090.00 6.44733
16080.00 6.45108
16070.00 6.45483
16060.00 6.45859
16050.00 6.46235
16040.00 6.46611
16030.00 6.46988
16020.00 6.47365
16010.00 6.47742
16000.00 6.48120
15990.00 6.48498
15980.00 6.48876
15970.00 6.49255
15960.00 6.49634
15950.00 6.50013
15940.00 6.50393
15930.00 6.50773
15920.00 6.51154
15910.00 6.51534
15900.00 6.51915
15890.00 6.52297
15880.00 6.52679
15870.00 6.53061
15860.00 6.53443
15850.00 6.53826
15840.00 6.54210
15830.00 6.54593
15820.00 6.54977
15810.00 6.55361
15800.00 6.55746
15790.00 6.56131
15780.00 6.56516
15770.00 6.56902
15760.00 6.57288
15750.00 6.57674
15740.00 6.58060
15730.00 6.58447
15720.00 6.58835
15710.00 6.59223
15700.00 6.59611
15690.00 6.59999
15680.00 6.60388
15670.00 6.60777
15660.00 6.61166
15650.00 6.61556
15640.00 6.61946
15630.00 6.62337
15620.00 6.62727
15610.00 6.63118
15600.00 6.63510
15590.00 6.63902
15580.00 6.64294
15570.00 6.64686
15560.00 6.65079
