#Bragg gap
Units mDeg mm
17400   6.00900
17300   6.04300
17200   6.07700
17100   6.11100
17000   6.14400
16900   6.17923
16897   6.18013
16894   6.18104
16891   6.18194
16887.9 6.18284
16884.9 6.18375
16881.9 6.18466
16878.9 6.18556
16875.9 6.18647
16872.9 6.18738
16869.8 6.18829
16866.8 6.18919
16863.8 6.1901
16860.8 6.19101
16857.8 6.19192
16854.8 6.19284
16851.8 6.19375
16848.7 6.19466
16845.7 6.19557
16842.7 6.19649
16839.7 6.1974
16836.7 6.19832
16833.7 6.19923
16830.7 6.20015
16827.6 6.20107
16824.6 6.20199
16821.6 6.2029
16818.6 6.20382
16815.6 6.20474
16812.6 6.20566
16809.5 6.20658
16806.5 6.2075
16803.5 6.20843
16800.5 6.20935
16797.5 6.21027
16794.5 6.2112
16791.5 6.21212
16788.4 6.21305
16785.4 6.21397
16782.4 6.2149
16779.4 6.21583
16776.4 6.21675
16773.4 6.21768
16770.4 6.21861
16767.3 6.21954
16764.3 6.22047
16761.3 6.2214
16758.3 6.22233
16755.3 6.22327
16752.3 6.2242
16749.2 6.22513
16746.2 6.22607
16743.2 6.227
16740.2 6.22794
16737.2 6.22887
16734.2 6.22981
16731.2 6.23074
16728.1 6.23168
16725.1 6.23262
16722.1 6.23356
16719.1 6.2345
16716.1 6.23544
16713.1 6.23638
16710.1 6.23732
16707   6.23826
16704   6.23921
16701   6.24015
16698   6.24109
16695   6.24204
16692   6.24298
16688.9 6.24393
16685.9 6.24488
16682.9 6.24582
16679.9 6.24677
16676.9 6.24772
16673.9 6.24867
16670.9 6.24962
16667.8 6.25057
16664.8 6.25152
16661.8 6.25247
16658.8 6.25342
16655.8 6.25437
16652.8 6.25533
16649.7 6.25628
16646.7 6.25724
16643.7 6.25819
16640.7 6.25915
16637.7 6.2601
16634.7 6.26106
16631.7 6.26202
16628.6 6.26298
16625.6 6.26394
16622.6 6.2649
16619.6 6.26586
16616.6 6.26682
16613.6 6.26778
16610.6 6.26874
16607.5 6.2697
16604.5 6.27067
16601.5 6.27163
16598.5 6.27259
16595.5 6.27356
16592.5 6.27453
16589.4 6.27549
16586.4 6.27646
16583.4 6.27743
16580.4 6.27839
16577.4 6.27936
16574.4 6.28033
16571.4 6.2813
16568.3 6.28227
16565.3 6.28325
16562.3 6.28422
16559.3 6.28519
16556.3 6.28616
16553.3 6.28714
16550.3 6.28811
16547.2 6.28909
16544.2 6.29006
16541.2 6.29104
16538.2 6.29202
16535.2 6.29299
16532.2 6.29397
16529.1 6.29495
16526.1 6.29593
16523.1 6.29691
16520.1 6.29789
16517.1 6.29887
16514.1 6.29986
16511.1 6.30084
16508   6.30182
16505   6.30281
16502   6.30379
16499   6.30477
16496   6.30576
16493   6.30675
16489.9 6.30773
16486.9 6.30872
16483.9 6.30971
16480.9 6.3107
16477.9 6.31169
16474.9 6.31268
16471.9 6.31367
16468.8 6.31466
16465.8 6.31565
16462.8 6.31665
16459.8 6.31764
16456.8 6.31863
16453.8 6.31963
16450.8 6.32062
16447.7 6.32162
16444.7 6.32261
16441.7 6.32361
16438.7 6.32461
16435.7 6.32561
16432.7 6.32661
16429.6 6.32761
16426.6 6.32861
16423.6 6.32961
16420.6 6.33061
16417.6 6.33161
16414.6 6.33261
16411.6 6.33362
16408.5 6.33462
16405.5 6.33562
16402.5 6.33663
16399.5 6.33764
16396.5 6.33864
16393.5 6.33965
16390.5 6.34066
16387.4 6.34166
16384.4 6.34267
16381.4 6.34368
16378.4 6.34469
16375.4 6.3457
16372.4 6.34672
16369.3 6.34773
16366.3 6.34874
16363.3 6.34975
16360	6.35441
16355.7	6.35598
16351.4	6.35755
16347	6.35912
16342.7	6.36069
16338.4	6.36226
16334.1	6.36384
16329.7	6.36541
16325.4	6.36699
16321.1	6.36856
16316.8	6.37014
16312.5	6.37171
16308.1	6.37329
16303.8	6.37487
16299.5	6.37644
16295.2	6.37802
16290.9	6.3796
16286.5	6.38118
16282.2	6.38276
16277.9	6.38434
16273.6	6.38592
16269.2	6.3875
16264.9	6.38908
16260.6	6.39067
16256.3	6.39225
16252	6.39383
16247.6	6.39542
16243.3	6.397
16239	6.39858
16234.7	6.40017
16230.4	6.40176
16226	6.40334
16221.7	6.40493
16217.4	6.40652
16213.1	6.40811
16208.7	6.40969
16204.4	6.41128
16200.1	6.41287
16195.8	6.41446
16191.5	6.41605
16187.1	6.41765
16182.8	6.41924
16178.5	6.42083
16174.2	6.42242
16169.8	6.42402
16165.5	6.42561
16161.2	6.4272
16156.9	6.4288
16152.6	6.43039
16148.2	6.43199
16143.9	6.43359
16139.6	6.43518
16135.3	6.43678
16131	6.43838
16126.6	6.43998
16122.3	6.44158
16118	6.44318
16113.7	6.44478
16109.3	6.44638
16105	6.44798
16100.7	6.44958
16096.4	6.45118
16092.1	6.45279
16087.7	6.45439
16083.4	6.456
16079.1	6.4576
16074.8	6.4592
16070.5	6.46081
16066.1	6.46242
16061.8	6.46402
16057.5	6.46563
16053.2	6.46724
16048.8	6.46885
16044.5	6.47046
16040.2	6.47206
16035.9	6.47367
16031.6	6.47528
16027.2	6.4769
16022.9	6.47851
16018.6	6.48012
16014.3	6.48173
16009.9	6.48334
16005.6	6.48496
16001.3	6.48657
15997	6.48819
15992.7	6.4898
15988.3	6.49142
15984	6.49303
15979.7	6.49465
15975.4	6.49627
15971.1	6.49789
15966.7	6.4995
15962.4	6.50112
15958.1	6.50274
15953.8	6.50436
15949.4	6.50598
15945.1	6.5076
15940.8	6.50922
15936.5	6.51085
15932.2	6.51247
15927.8	6.51409
15923.5	6.51572
15919.2	6.51734
15914.9	6.51896
15910.6	6.52059
15906.2	6.52222
15901.9	6.52384
15897.6	6.52547
15893.3	6.5271
15888.9	6.52872
15884.6	6.53035
15880.3	6.53198
15876	6.53361
15871.7	6.53524
15867.3	6.53687
15863	6.5385
15858.7	6.54013
15854.4	6.54176
15850.1	6.5434
15845.7	6.54503
15841.4	6.54666
15837.1	6.5483
15832.8	6.54993
15828.4	6.55157
15824.1	6.5532
15819.8	6.55484
15815.5	6.55648
15811.2	6.55811
15806.8	6.55975
15802.5	6.56139
15798.2	6.56303
15793.9	6.56467
15789.5	6.56631
15785.2	6.56795
15780.9	6.56959
15776.6	6.57123
15772.3	6.57287
15767.9	6.57452
15763.6	6.57616
15759.3	6.5778
15755	6.57945
