edge,sgmGratingSelect,energy,spech,specl,sgmr1,sgmpitch
,,eV,mm,mm,mm,deg
Ca L-edge,SVLS1,350,1867.8008,141018.1268,1867.8058,2.287
Ca L-edge,SVLS2,,,,,
Ti L-edge,SVLS1,458,1540,12999.3,2053.7,2.285
Ti L-edge,SLVS2,,,,,
Ru M-edge,SVLS1,458,1540,12999.3,2053.7,2.285
Ru M-edge,SLVS2,,,,,
V L-edge,SVLS1,512,1418.45,12566.354,2131.985,2.2915
V L-edge,SVLS2,512,2043.59,14240.026,1797.87,2.326
O K-edge,SVLS1,529.181,1378.8872,12425.5412,2162,2.2815
O K-edge,SLVS2,532,1970.5,13991.0388,1797.997,2.304
Cr L3-edge,SVLS1,574.1,1309.1,12153.56,2218,2.294
Cr L3-edge,SLVS2,574.1,1868.99,13704.0532,1848.98,2.292
Mn L3-edge,SVLS1,641,1215.8,11813.563,2288.383,2.294
Mn L3-edge,SLVS2,641,1735.99,13345.9988,1915.895,2.294
F K-edge,SVLS1,682,1151.437,11499.95,2357.13,2.284
F K-edge,SLVS2,,,,,
Fe L-edge ,SVLS1,712,1124,11427.0116,2373.866,2.2959
Fe L-edge ,SLVS2,712,1623.2728,13013.0964,2025.6922,2.326
U N5-edge,SVLS1,,,,,
U N5-edge,SLVS2,736,1590.1976,12905.3124,2049.2986,2.326
Co L3-edge,SVLS1,778,1058,11152.0788,2442.0058,2.294
Co L3-edge,SLVS2,778,1530,12711.3604,2089.0554,2.338
U N4-edge,SVLS1,778,1058,11152.0788,2442.0058,2.294
U N4-edge,SLVS2,778,1530,12711.3604,2089.0554,2.338
Ni L-edge,SVLS1,856,1108,11616.5812,2773.077,2.535
Ni L-edge,SLVS2,856,1419.6696,12328.1412,2174.8042,2.328
Ce M5-edge,SVLS1,,,,,
Ce M5-edge,SLVS2,883.8,1406.6008,12328.066,2170.7978,2.332
Cu L-edge,SVLS1,934,1049.62,11368,2846.96,2.529
Cu L-edge,SLVS2,934,1366.25,12186.395,2213.96,2.341
Gd M5-edge,SVLS1,,,,,
Gd M5-edge,SLVS2,1189.6,1145.1,11357.875,2399.698,2.339
Er M5-edge,SVLS1,,,,,
Er M5-edge,SLVS2,1409,1023.5,10887.3,2523,2.328
Yb M5-edge,SVLS1,,,,,
Yb M5-edge,SLVS2,1520,1013.55,10966.17,2691.98,2.424
P K-edge,SVLS3,2129.9978,1074.5032,15499.9572,1654.9968,1.556
Ti L3-edge,SVLS1,458.0412,1536.4632,12999.5876,2053.6992,2.281
S K-edge,SVLS3,2495.5,982.5,14552,1818.5,1.629
Ru L3-edge,SVLS3,2870,963.3,14228.8,2081.6,1.773
Rh L3-edge,SVLS3,3100,743,12060,1948.6,1.603
